Z   Wind_expand.001 abundance     Wind_expand.003 abundance     Wind_expand.005 abundance
1   3.711131065e-08               9.24277347e-08                0.1189594356
2   0.6077040000000022            0.4309800000000383            0.2791347247
3   1.6076789e-14                 9.5004255e-13                 3.61651754164e-12
4   2.92708e-14                   2.0726e-13                    3.73194e-21
5   1.4049488995e-14              1.5927327115e-12              1.807340209225e-11
6   3.47833439e-06                7.2190131e-08                 7.3626e-08
7   1.495518e-13                  1.79581e-07                   1.7867760000000002e-06
8   1.677892359015e-07            1.31204923e-06                0.00036259209
9   1.0772e-15                    4.85539e-08                   1.35191e-05
10  2.127293668e-07               2.239834e-07                  0.0002228335
11  3.2992e-11                    1.65023e-07                   9.80148e-08
12  3.570099e-07                  6.554951e-07                  4.3657500000000003e-07
13  1.11222e-08                   4.76744e-08                   2.18497e-10
14  6.86831e-07                   6.37201e-07                   1.348091e-08
15  3.4069e-07                    1.64775e-07                   1.43e-09
16  2.118075e-06                  1.3930063e-05                 3.16110256e-07
17  7.38348e-07                   5.789350000000001e-06         8.890027e-08
18  2.3261112381999997e-06        1.9538840000000077e-06        3.413815e-08
19  4.929660234056e-07            1.6824698e-05                 5.034472e-08
20  2.651597600032538e-05         0.00021928619999999997        0.00016912917
21  3.59108e-07                   3.8234e-05                    5.802e-07
22  7.432010332572908e-06         0.00016193500000072383        1.363097e-05
23  3.062220000000001e-05         4.46484e-05                   1.17801e-05
24  7.4012291e-05                 0.0001263878                  5.5716619999999996e-05
25  1.75804e-07                   0.00022448                    1.0779e-05
26  0.00019926036999999997        0.00015998                    5.7933032e-05
27  5.32435e-06                   3.88699e-05                   1.11761e-06
28  0.000432494683                0.00038616590000000004        7.146908e-05
29  3.136991e-05                  0.000126939                   2.730339e-06
30  0.0007126807899999999         0.0006455395                  3.062402e-05
31  7.309579999999999e-05         0.00042235199999999997        1.7797440000000003e-05
32  0.00048808419999999997        0.0025515613                  0.00066949172
33  1.758e-05                     0.000391939                   4.68878e-05
34  0.00673636                    0.005169528999999999          0.0041353305
35  0.00044329                    0.0002109778                  0.0001137585
36  0.0031998751000000005         0.0036201790000000003         0.0007670142000000001
37  0.000600914                   0.001142503                   0.0004372321
38  0.013594                      0.000220316                   8.14506e-05
39  0.000527772                   0.000511756                   6.12446e-05
40  0.090461309                   0.004911769                   0.0004956745
41  0.000732254                   0.000508727                   6.6097e-05
42  0.069613873136                0.004401835768752             0.0001185279
44  0.1019332                     0.017083960000000002          0.0002826255
45  0.0355225                     0.00572689                    7.33235e-05
46  0.04837215                    0.1222221                     0.0005406422
47  0.01148275                    0.0703185                     0.0002782316
48  0.006234880300000001          0.02982987                    0.0002736821
49  6.34761e-05                   0.00168819                    4.29191e-05
50  0.0004180245000000001         0.09848915                    0.0013582733999999998
51  4.78325e-05                   0.0637626                     0.000922038
52  0.000136335876                0.11696840300000001           0.004691773999999999
53  6.16155e-05                   0.016037                      0.000451847
54  3.402769047852e-06            0.0006144653158000001         0.374888114
55  3.23467e-11                   3.57247e-07                   0.0771454
56  1.2274559040415248e-13        4.62338070000003e-07          0.011437822999999998
57  1.345140000284133e-14         1.49759e-09                   0.00432386
58  1.428399679513e-15            5.641511700000002e-09         0.01972939
59  5.08282e-17                   4.71089e-10                   0.000161521
60  1.079241e-16                  1.0311565000000001e-09        0.005740006
62  2.9764413203949997e-17        3.7624219000226815e-10        0.00479851
63  1.629914e-17                  1.188331e-10                  0.00299098
64  5.4905216852429995e-15        3.50880120013258e-11          0.01068751
65  5.42604e-17                   1.91777e-12                   0.0013018
66  7.412451013196239e-14         4.742022e-13                  0.0063282799999999995
67  5.1401e-15                    4.91824e-15                   0.000309094
68  5.772720005431994e-14         2.4902090000000002e-14        0.004109233
69  2.17236e-15                   1.32526e-14                   0.000925519
70  7.125313006052093e-14         3.0690748000000003e-12        0.006501155
71  4.35268e-15                   2.05826e-12                   0.000906845
72  2.592191e-14                  2.5913440000000004e-12        0.002123362
73  3.80191e-15                   3.65695e-13                   0.000548439
74  4.7457009999999996e-14        1.835645e-12                  0.006039859999999999
75  2.858891e-15                  4.521446999999999e-12         0.00822443
76  8.511516000000536e-15         9.68205e-12                   0.023707759999999998
77  6.046923e-16                  8.40247e-12                   0.00666437
78  1.06161e-15                   5.5670749000000004e-12        0.004326311699999999
79  1.50439e-16                   2.89642e-13                   0.000215381
80  7.784166450000006e-13         2.3132549000016497e-13        4.8587809999999997e-05
81  3.35284e-13                   1.3834e-14                    2.707179e-05
82  2.303791e-12                  1.9278310000000002e-14        6.331509999999999e-05
83  4.66084e-13                   1.00436e-14                   1.90085e-05
90  9.51352e-21                   4.44223e-12                   1.36012e-05
92  9.35828e-20                   8.3004655e-13                 7.59664e-06
