#   N    Z    A     X             Y       
   55   44   99   2.88668E-05   2.91584E-07
   56   44  100   0.00000E+00   0.00000E+00
   57   44  101   6.35178E-05   6.28889E-07
   58   44  102   7.34229E-05   7.19833E-07
   60   44  104   1.16818E-04   1.12325E-06
   58   45  103   7.33235E-05   7.11878E-07
   56   46  102   0.00000E+00   0.00000E+00
   58   46  104   0.00000E+00   0.00000E+00
   59   46  105   7.53747E-05   7.17854E-07
   60   46  106   1.26384E-04   1.19230E-06
   62   46  108   2.47039E-04   2.28740E-06
   64   46  110   9.18445E-05   8.34950E-07
   60   47  107   8.68636E-05   8.11809E-07
   62   47  109   1.91368E-04   1.75567E-06
   58   48  106   0.00000E+00   0.00000E+00
   60   48  108   0.00000E+00   0.00000E+00
   62   48  110   0.00000E+00   0.00000E+00
   63   48  111   5.38246E-05   4.84906E-07
   64   48  112   2.27526E-05   2.03148E-07
   65   48  113   2.93806E-05   2.60005E-07
   66   48  114   5.53183E-05   4.85249E-07
   68   48  116   1.12406E-04   9.69017E-07
   64   49  113   0.00000E+00   0.00000E+00
   66   49  115   4.29191E-05   3.73209E-07
   62   50  112   0.00000E+00   0.00000E+00
   64   50  114   0.00000E+00   0.00000E+00
   65   50  115   0.00000E+00   0.00000E+00
   66   50  116   0.00000E+00   0.00000E+00
   67   50  117   2.22311E-05   1.90010E-07
   68   50  118   2.57235E-05   2.17996E-07
   69   50  119   2.93779E-05   2.46873E-07
   70   50  120   7.65969E-05   6.38307E-07
   72   50  122   3.00544E-04   2.46347E-06
   74   50  124   9.03800E-04   7.28871E-06
   70   51  121   4.51696E-04   3.73302E-06
   72   51  123   4.70342E-04   3.82392E-06
   68   52  120   0.00000E+00   0.00000E+00
   70   52  122   0.00000E+00   0.00000E+00
   71   52  123   0.00000E+00   0.00000E+00
   72   52  124   0.00000E+00   0.00000E+00
   73   52  125   6.09701E-04   4.87761E-06
   74   52  126   1.35210E-03   1.07309E-05
   76   52  128   1.79281E-03   1.40064E-05
   78   52  130   9.37163E-04   7.20895E-06
   74   53  127   4.51847E-04   3.55785E-06
   70   54  124   0.00000E+00   0.00000E+00
   72   54  126   0.00000E+00   0.00000E+00
   74   54  128   0.00000E+00   0.00000E+00
   75   54  129   8.58674E-04   6.65639E-06
   76   54  130   0.00000E+00   0.00000E+00
   77   54  131   1.10532E-03   8.43759E-06
   78   54  132   1.17266E-01   8.88379E-04
   80   54  134   8.40012E-03   6.26874E-05
   82   54  136   2.47258E-01   1.81807E-03
   78   55  133   7.71454E-02   5.80040E-04
   74   56  130   0.00000E+00   0.00000E+00
   76   56  132   0.00000E+00   0.00000E+00
   78   56  134   0.00000E+00   0.00000E+00
   79   56  135   1.00966E-03   7.47897E-06
   80   56  136   0.00000E+00   0.00000E+00
   81   56  137   1.00022E-02   7.30086E-05
   82   56  138   4.25963E-04   3.08669E-06
   81   57  138   0.00000E+00   0.00000E+00
   82   57  139   4.32386E-03   3.11069E-05
   78   58  136   0.00000E+00   0.00000E+00
   80   58  138   0.00000E+00   0.00000E+00
   82   58  140   1.01017E-02   7.21550E-05
   84   58  142   9.62769E-03   6.78006E-05
   82   59  141   1.61521E-04   1.14554E-06
   82   60  142   0.00000E+00   0.00000E+00
   83   60  143   5.08081E-04   3.55301E-06
   84   60  144   3.81698E-04   2.65068E-06
   85   60  145   7.79495E-04   5.37583E-06
   86   60  146   5.94873E-04   4.07448E-06
   88   60  148   8.89259E-04   6.00851E-06
   90   60  150   2.58660E-03   1.72440E-05
   82   62  144   0.00000E+00   0.00000E+00
   85   62  147   1.00370E-03   6.82786E-06
   86   62  148   0.00000E+00   0.00000E+00
   87   62  149   1.59369E-03   1.06959E-05
   88   62  150   0.00000E+00   0.00000E+00
   90   62  152   1.21538E-03   7.99593E-06
   92   62  154   9.85740E-04   6.40091E-06
   88   63  151   1.29710E-03   8.59008E-06
   90   63  153   1.69388E-03   1.10711E-05
   88   64  152   0.00000E+00   0.00000E+00
   90   64  154   0.00000E+00   0.00000E+00
   91   64  155   2.05149E-03   1.32354E-05
   92   64  156   4.09945E-03   2.62785E-05
   93   64  157   1.56256E-03   9.95261E-06
   94   64  158   1.36336E-03   8.62884E-06
   96   64  160   1.61065E-03   1.00665E-05
   94   65  159   1.30180E-03   8.18741E-06
   90   66  156   0.00000E+00   0.00000E+00
   92   66  158   0.00000E+00   0.00000E+00
   94   66  160   0.00000E+00   0.00000E+00
   95   66  161   1.44737E-03   8.98990E-06
   96   66  162   1.91684E-03   1.18324E-05
   97   66  163   1.09332E-03   6.70750E-06
   98   66  164   1.87075E-03   1.14070E-05
   98   67  165   3.09094E-04   1.87330E-06
   94   68  162   0.00000E+00   0.00000E+00
   96   68  164   0.00000E+00   0.00000E+00
   98   68  166   4.98698E-04   3.00420E-06
   99   68  167   6.13660E-04   3.67461E-06
  100   68  168   8.83385E-04   5.25825E-06
  102   68  170   2.11349E-03   1.24323E-05
  100   69  169   9.25519E-04   5.47644E-06
   98   70  168   0.00000E+00   0.00000E+00
  100   70  170   0.00000E+00   0.00000E+00
  101   70  171   1.20659E-03   7.05606E-06
  102   70  172   1.66429E-03   9.67608E-06
  103   70  173   1.31683E-03   7.61176E-06
  104   70  174   9.23135E-04   5.30537E-06
  106   70  176   1.39031E-03   7.89947E-06
  104   71  175   9.06845E-04   5.18197E-06
  105   71  176   0.00000E+00   0.00000E+00
  102   72  174   0.00000E+00   0.00000E+00
  104   72  176   0.00000E+00   0.00000E+00
  105   72  177   6.70509E-04   3.78819E-06
  106   72  178   7.88386E-04   4.42914E-06
  107   72  179   2.94028E-04   1.64261E-06
  108   72  180   3.70439E-04   2.05799E-06
  107   73  180   0.00000E+00   0.00000E+00
  108   73  181   5.48439E-04   3.03005E-06
  106   74  180   0.00000E+00   0.00000E+00
  108   74  182   5.34170E-04   2.93500E-06
  109   74  183   1.38435E-03   7.56473E-06
  110   74  184   1.06098E-03   5.76619E-06
  112   74  186   3.06036E-03   1.64536E-05
  110   75  185   3.31657E-03   1.79274E-05
  112   75  187   4.90786E-03   2.62453E-05
  108   76  184   0.00000E+00   0.00000E+00
  110   76  186   0.00000E+00   0.00000E+00
  111   76  187   0.00000E+00   0.00000E+00
  112   76  188   4.58903E-03   2.44098E-05
  113   76  189   6.37276E-03   3.37183E-05
  114   76  190   6.40058E-03   3.36873E-05
  116   76  192   6.34539E-03   3.30489E-05
  114   77  191   5.40427E-03   2.82946E-05
  116   77  193   1.26010E-03   6.52901E-06
  112   78  190   0.00000E+00   0.00000E+00
  114   78  192   0.00000E+00   0.00000E+00
  116   78  194   1.18495E-03   6.10799E-06
  117   78  195   1.94058E-03   9.95170E-06
  118   78  196   1.10389E-03   5.63208E-06
  120   78  198   9.68917E-05   4.89352E-07
  118   79  197   2.15381E-04   1.09331E-06
  116   80  196   0.00000E+00   0.00000E+00
  118   80  198   0.00000E+00   0.00000E+00
  119   80  199   1.54746E-05   7.77616E-08
  120   80  200   1.33611E-05   6.68056E-08
  121   80  201   7.89161E-06   3.92617E-08
  122   80  202   5.08526E-06   2.51746E-08
  124   80  204   6.77524E-06   3.32120E-08
  122   81  203   9.01909E-06   4.44290E-08
  124   81  205   1.80527E-05   8.80620E-08
  122   82  204   0.00000E+00   0.00000E+00
  124   82  206   1.56003E-05   7.57297E-08
  125   82  207   3.03153E-05   1.46451E-07
  126   82  208   1.73995E-05   8.36514E-08
  126   83  209   1.90085E-05   9.09496E-08
  142   90  232   1.36012E-05   5.86259E-08
  143   92  235   5.76357E-06   2.45258E-08
  146   92  238   1.83307E-06   7.70196E-09
